Name,Address,Vaccine Type,Region
Radin Mas Community Club,"1 Telok Blangah Crescent, Singapore 098915",Moderna,Central
Kolam Ayer Community Club,"1 Geylang Bahru Lane, Singapore 339631",Moderna,Central
Buona Vista Community Club,"36 Holland Drive, Singapore 270036",Moderna,Central
Potong Pasir Community Club,"6 Potong Pasir Avenue 2, Singapore 358361",Moderna,Central
Raffles City Convention Centre,"252 North Bridge Road, Singapore 179103, Level 4 Orchard Room",Pfizer,Central
Tanjong Pagar Community Club,"101 Cantonment Road, Singapore 089774",Pfizer,Central
Jalan Besar Community Club,"69 Jellicoe Road, Singapore 208737",Pfizer,Central
Bishan Community Club,"51 Bishan Street 13, Singapore 579799",Pfizer,Central
Queenstown Community Centre,"365 Commonwealth Avenue, Singapore 149732",Pfizer,Central
Toa Payoh West Community Club,"200 Lorong 2 Toa Payoh, Singapore 319642",Pfizer,Central
Marine Parade Community Club,"278 Marine Parade Road, Singapore 449282",Pfizer,Central
Bukit Timah Community Club,"20 Toh Yi Drive, Singapore 596569",Pfizer,Central
Geylang Serai Community Club,"1 Engku Aman Turn, #01-01, Wisma Geylang Serai, Singapore 408528",Pfizer,Central
Tampines East Community Club,"10 Tampines Street 23, Singapore 529341",Moderna,East
Changi Airport Terminal 4,10 Airport Boulevard #01-01 Passenger Building Terminal 4 Singapore 819665,Pfizer,East
Bedok Community Centre,"850 New Upper Changi Road, Singapore 467352",Pfizer,East
Pasir Ris Elias Community Club,"93 Pasir Ris Drive 3, Singapore 519498",Pfizer,East
Arena@ Our Tampines Hub (Hockey Court),"1 Tampines Walk, Singapore 528523",Pfizer,East
Marsiling Community Club,"100 Admiralty Road, Singapore 739980",Moderna,North
Woodlands Community Club,"1 Woodlands Street 81, Singapore 738526",Moderna,North
Woodlands Galaxy Community Club,"31 Woodlands Avenue 6, Singapore 738991",Pfizer,North
Canberra Community Club,"2 Sembawang Crescent, Singapore 757632",Pfizer,North
Nee Soon East Community Club,"1 Yishun Avenue 9, Singapore 768893",Pfizer,North
Kebun Baru Community Club,"216 Ang Mo Kio Avenue 4, Singapore 569897",Moderna,North East
Punggol 21 Community Club,"80 Punggol Field #01-01, Singapore 828815",Moderna,North East
The Serangoon Community Club,"10 Serangoon North Avenue 2, Singapore 555877",Pfizer,North East
Sengkang Community Club,"2 Sengkang Square, #01-01 Sengkang Community Hub, Singapore 545025",Pfizer,North East
Hougang Community Club,"35 Hougang Avenue 3, Singapore 538840",Pfizer,North East
Teck Ghee Community Club,"861 Ang Mo Kio Avenue 10, Singapore 569734",Pfizer,North East
Hong Kah North Community Club,"30 Bukit Batok Street 31, Singapore 659440",Moderna,West
Yew Tee Community Club,"20 Choa Chu Kang Street 52, Singapore 689286",Moderna,West
Former Hong Kah Secondary School,"931 Jurong West Street 42, Singapore 649370",Pfizer,West
Taman Jurong Community Club,"1 Yung Sheng Road, Singapore 618495",Pfizer,West
Yuhua Community Club,"90 Boon Lay Way, Singapore 609958",Pfizer,West
Nanyang Community Club,"60 Jurong West Street 91, Singapore 649040",Pfizer,West
Clementi Community Centre,"220 Clementi Avenue 4, Singapore 129880",Pfizer,West
Senja-Cashew Community Club,"101 Bukit Panjang Road, Singapore 679910",Pfizer,West
Chua Chu Kang Community Club,"35 Teck Whye Avenue, Singapore 688892",Pfizer,West
